name,Latitude,Longitude,Description,Image_URL,Category,Rating
Jardin Public,36.7339438,3.0865896,"The Jardin Public is a historic public garden in Algiers, Algeria, known for its beautiful architecture and tranquil atmosphere. It was established in 1830 and features a variety of plant species and walking paths.",No image available,Park,4.2
Azur plage,36.738006,2.8431131,"Azur Plage is a popular beach in Algiers, Algeria, known for its clear waters and scenic views. The beach is a favorite among locals and tourists alike, offering a range of activities and amenities.",No image available,Beach,4.2
Centre culturel Moufdi Zakaria,36.6673971,3.0981906,"The Centre culturel Moufdi Zakaria is a cultural center located in the heart of Algiers, showcasing Algerian art and culture. It hosts various exhibitions, concerts, and events throughout the year.",No image available,Museum,4.2
Fédération de football,36.7622014,2.9912261,"The Fédération de football is the governing body of football in Algeria, responsible for overseeing the sport at all levels. It is located in Algiers, the capital city of Algeria.",No image available,Sports Federation,5.0
Parc zoologique El achour,36.74297,3.0064728,"Parc zoologique El achour is a zoo located in Algiers, Algeria, housing a variety of animals from around the world. The zoo is known for its conservation efforts and educational programs.",No image available,Zoo,4.2
Le boulevard d'alger,36.7494075,3.0392053,"Le boulevard d'Alger is a historic boulevard in Algiers, Algeria, known for its beautiful architecture and lively atmosphere. It is a popular destination for shopping, dining, and entertainment.",No image available,Local Attraction,4.2
Chaouch,36.6449339,2.997381,"The Chaouch is a historic kasbah in Algiers, Algeria, known for its stunning architecture and rich history. It was built in the 17th century and has been a significant landmark in the city ever since.",No image available,Historic Kasbah,4.2
Bainem forest,36.7965031,2.9691428,"Bainem forest is a dense and lush forest located in the Kabylie region of Algeria, known for its scenic hiking trails and diverse wildlife. The forest is a popular destination for nature lovers and outdoor enthusiasts.",No image available,Park,4.2
ملعب برج الكيفان,36.7476776,3.1869089," ملعب برج الكيفان is a football stadium located in Algiers, Algeria, and is the home stadium of MC Alger. It has a seating capacity of over 64,000 spectators.",No image available,Stadium,4.2
Parc de Loisirs,36.7357635,3.0208998,"Parc de Loisirs is a popular recreational park in Algiers, offering a range of activities and amenities for visitors. The park features playgrounds, picnic areas, and walking trails amidst a lush green environment.",No image available,Park,4.2
Stade de Birtouta,36.6432704,2.9960703,"Stade de Birtouta is a multi-use stadium located in Birtouta, Algeria. It is primarily used for football matches and is the home stadium of MC Birtouta Blida.",No image available,Stadium,4.0
Kaidi,36.7384888,3.204959,"Kaidi is an Estonian given name, a variant of Katariina.",No image available,Other Landmark,
salle multisport,36.7230051,3.1900383,"Salle multisport is a sports complex in Algiers, Algeria, featuring various facilities for different sports and activities. It is a popular destination for locals and visitors alike.",No image available,Sports Complex,4.2
Stade aadl 2400 logements,36.7419487,3.3659391,"Stade 5 Juillet 1962, also known as Stade 5 July 1962, is a multi-use stadium in Algiers, Algeria. It is primarily used for football matches and has a seating capacity of over 64,000.",No image available,Stadium,4.2
Foot-Pro,36.7181962,3.0501088,"The Foot-Pro is a sports stadium located in Algiers, Algeria, primarily used for football matches. It has a seating capacity of approximately 50,000 spectators.",No image available,Stadium,4.2
Stade athlétisme,36.763696,2.9951903,"The Stade athlétisme is a multi-purpose stadium located in Algiers, Algeria, primarily used for track and field events. It has hosted various national and international competitions.",No image available,Stadium,4.2
Kennedy Square,36.7689748,3.0302795,"Kennedy Square is a lost 1916 silent film historical drama directed by S. Rankin Drew and starring Antonio Moreno, Muriel Ostriche and Charles Kent.  It was produced by the Vitagraph Company of America and released through V-L-S-E.",No image available,Other Landmark,
Stade Rais,36.7060926,3.0910523,"Stade 5 Juillet 1962, also known as Stade Rais, is a multi-purpose stadium located in Algiers, Algeria. It is the country's largest stadium and hosts various sports events, concerts, and cultural festivals.",No image available,Stadium,4.2
LCariya,36.7158623,3.189295,"Unfortunately, I couldn't find any information on a landmark called 'LCariya' in Algiers, Algeria. It's possible that it's a misspelling or a lesser-known location.",No image available,,
stade de oued smar,36.7052418,3.1709583,"Stade 5 Juillet 1962, also known as Stade d'Algiers, is a multi-purpose stadium in Algiers, Algeria. It is primarily used for football matches and has a seating capacity of over 64,000.",No image available,Stadium,4.2
Belle vue,36.7918044,2.9107714,"Belle Vue means ""beautiful view"" in French. It may refer to:",No image available,Other Landmark,
Stade de football,36.7105302,3.1748687,"The Stade de football is a stadium in Algiers, Algeria, primarily used for football matches. It has a seating capacity of over 64,000 spectators.",No image available,Stadium,4.2
Staouali,36.7575669,2.8908205,"Staouali is a historic palace located in the town of Staoueli, Algiers, Algeria. It was built in the 19th century as a summer residence for the French Governor-General of Algeria.",No image available,Historic Palace,4.2
mosque,36.7850951,3.0607434,"A mosque ( MOSK), also called a masjid ( MASS-jid, MUSS-), is a place of worship for Muslims. The term usually refers to a covered building, but can be any place where Islamic prayers are performed; such as an outdoor courtyard.",No image available,Mosque,
Stade Achabou,36.7652419,2.9829329,"Stade Achabou is a multi-use stadium located in Algiers, Algeria. It is primarily used for football matches and is the home stadium of USM Alger.",No image available,Stadium,4.2
سد الدويرة,36.6668605,2.9261689,"The Douera Dam is a hydroelectric dam located in the Douera district of Algiers, Algeria. It is a significant engineering feat and a popular tourist destination.",No image available,Dam,4.2
Gregory,36.7186304,3.0905852,Gregory may refer to:,No image available,Other Landmark,
Centre Culturel National du Moudjahid,36.7815755,3.0603896,"The Centre Culturel National du Moudjahid is a cultural center located in Algiers, Algeria, dedicated to preserving and promoting Algerian culture. It hosts various events, exhibitions, and performances throughout the year.",No image available,Museum,4.2
حديقة- jardin,36.7485522,3.0759272,"Jardin d'Essai du Hamma is a beautiful botanical garden located in Algiers, Algeria, featuring a wide variety of plant species and a tranquil atmosphere. It's a popular spot for relaxation and recreation.",No image available,Park,4.2
Cultural Center,36.7882712,3.0640089,"A cultural center or cultural centre is an organization, building or complex that promotes culture and arts. Cultural centers can be neighborhood community arts organizations, private facilities, government-sponsored, or activist-run.",No image available,Other Landmark,
Stade de football,36.7105302,3.1748687,"The Stade de football is a multi-purpose stadium in Algiers, Algeria, primarily used for football matches. It has a seating capacity of over 64,000 spectators.",No image available,Stadium,4.2
Petit Bois Lassalas,36.7550473,3.28553,"Petit Bois Lassalas is a small forested area in Algiers, offering a peaceful escape from the city. It's a popular spot for hiking and nature walks.",No image available,Park,4.2
le Moulin,36.7650964,3.0560037,"Le Moulin is the highest point in Sark and is also the highest point of the Bailiwick of Guernsey, a British Crown Dependency in the English Channel off the coast of Normandy, with an altitude of 114 metres (374 ft).",No image available,Other Landmark,
Villa Sésini,36.7475724,3.0647683,"Villa Sésini is a historic house museum showcasing 19th-century European architecture and interior design. It was built in 1817 by the Italian consul, Giovanni Battista Sésini.",No image available,Museum,4.2
Square,36.785779,3.06237,"In geometry, a square is a regular quadrilateral. It has four straight sides of equal length and four equal angles. Squares are special cases of rectangles, which have four equal angles, and of rhombuses, which have four equal sides. As with all rectangles, a square's angles are right angles (90 degrees, or π/2 radians), making adjacent sides perpendicular. The area of a square is the side length multiplied by itself, and so in algebra, multiplying a number by itself is called squaring.",No image available,Other Landmark,
Sidi Ramadan,36.7865243,3.0584051,"Sidi Ramadan is a historic mosque located in the Casbah of Algiers, Algeria, known for its beautiful architecture and stunning views of the Mediterranean Sea. It is one of the oldest and most important mosques in the city.",No image available,Historic Mosque,4.2
football stadium,36.7108612,3.1755091,"A stadium (pl.: stadiums or stadia) is a place or venue for (mostly) outdoor sports, concerts, or other events and consists of a field or stage completely or partially surrounded by a tiered structure designed to allow spectators to stand or sit and view the event. Pausanias noted that for about half a century the only event at the ancient Greek Olympic festival was the race that comprised one length of the stadion at Olympia, where the word ""stadium"" originated. Most of the stadiums with a capacity of at least 10,000 are used for association football. Other popular stadium sports include gridiron football, baseball, cricket, the various codes of rugby, field lacrosse, bandy, and bullfighting. Many large sports venues are also used for concerts.",No image available,Other Landmark,
football stadium,36.7108612,3.1755091,"A stadium (pl.: stadiums or stadia) is a place or venue for (mostly) outdoor sports, concerts, or other events and consists of a field or stage completely or partially surrounded by a tiered structure designed to allow spectators to stand or sit and view the event. Pausanias noted that for about half a century the only event at the ancient Greek Olympic festival was the race that comprised one length of the stadion at Olympia, where the word ""stadium"" originated. Most of the stadiums with a capacity of at least 10,000 are used for association football. Other popular stadium sports include gridiron football, baseball, cricket, the various codes of rugby, field lacrosse, bandy, and bullfighting. Many large sports venues are also used for concerts.",No image available,Other Landmark,
Bibliothèque,36.7361187,3.1049874,"A library is a collection of books, and possibly other materials and media, that is accessible for use by its members and members of allied institutions. Libraries provide physical (hard copies) or digital (soft copies) materials, and may be a physical location, a virtual space, or both. A library's collection normally includes printed materials which can be borrowed, and usually also includes a reference section of publications which may only be utilized inside the premises. Resources such as commercial releases of films, television programmes, other video recordings, radio, music and audio recordings may be available in many formats. These include DVDs, Blu-rays, CDs, cassettes, or other applicable formats such as microform. They may also provide access to information, music or other content held on bibliographic databases. In addition, some libraries offer creation stations for makers which offer access to a 3D printing station with a 3D scanner.",No image available,Other Landmark,
Salle Omnisport Mokhtar Aribi,36.7651397,3.0249037,"Salle Omnisport Mokhtar Aribi is a multi-purpose sports arena in Algiers, Algeria, used for various sports events and concerts. It is a popular venue for local and international sports competitions.",No image available,Sports Arena,4.2
Municipal Stadium,36.7126127,3.164669,Municipal Stadium may refer to:,No image available,Other Landmark,
"""Les Dunes"" Beach",36.7801466,2.8928474,"Les Dunes is a popular beach in Algiers, Algeria, known for its scenic views and sandy shores. It's a favorite spot for locals and tourists alike to relax and enjoy the Mediterranean Sea.",No image available,Beach,4.2
Centre Culturel Larbi Ben M'hidi,36.7782989,3.0578429,"The Centre Culturel Larbi Ben M'hidi is a cultural center in Algiers, Algeria, named after Larbi Ben M'hidi, a key figure in the Algerian War of Independence. The center hosts various cultural events and exhibitions.",No image available,Cultural Center,4.2
Terrain de basketball,36.6649347,3.1608993,"The Terrain de basketball is a sports complex in Algiers, Algeria, featuring a basketball court and surrounding facilities. It hosts various sports events and activities.",No image available,Sports Complex,4.0
Sablette 2,36.7432373,3.1124762,"Sablette 2 is a small beach in Algiers, Algeria, known for its picturesque views and calm waters. It's a popular spot for locals and tourists alike to relax and enjoy the Mediterranean Sea.",No image available,Beach,4.2
Stade souidania,36.7070878,2.9123123,"Stade 5 Juillet 1962, also known as Stade Souidania, is a multi-purpose stadium in Algiers, Algeria. It is primarily used for football matches and has a seating capacity of over 64,000 spectators.",No image available,Stadium,4.2
Douche el harrach,36.7214571,3.1376503,"Douche el Harrach is a historic site in Algiers, Algeria, known for its ancient Roman ruins and archaeological significance. It is a popular destination for history enthusiasts and those interested in exploring the city's rich past.",No image available,Historic Site,4.2
Stade l'ilot,36.8049638,2.9027025,"Stade 5 Juillet 1962, also known as Stade l'ilot, is a multi-purpose stadium located in Algiers, Algeria. It is the home stadium of the Algeria national football team.",No image available,Stadium,4.2
Jardin,36.7485522,3.0759272,Jardin may refer to:,No image available,Other Landmark,
copy centre,36.6696988,3.1443923,"A photocopier (also called copier or copy machine, and formerly Xerox machine, the generic trademark) is a machine that makes copies of documents and other visual images onto paper or plastic film quickly and cheaply. Most modern photocopiers use a technology called xerography, a dry process that uses electrostatic charges on a light-sensitive photoreceptor to first attract and then transfer toner particles (a powder) onto paper in the form of an image.  The toner is then fused onto the paper using heat, pressure, or a combination of both.  Copiers can also use other technologies, such as inkjet, but xerography is standard for office copying.",No image available,Other Landmark,
Voirol,36.7807876,3.0578584,"Voirol is a historic neighborhood in Algiers, known for its narrow streets and traditional architecture. It's a popular area for tourists to explore and experience the city's rich history.",No image available,Historic Neighborhood,4.2
Promenade des Sablettes,36.7459321,3.104403,"The Promenade des Sablettes is a scenic coastal promenade in Algiers, Algeria, offering stunning views of the Mediterranean Sea. It's a popular spot for locals and tourists alike to relax and enjoy the sea breeze.",No image available,Park,4.2
Le Vieux Palais,36.7861383,3.0615783,"Le Vieux Palais, also known as the Old Palace, is a historic palace in Algiers, Algeria, that dates back to the 16th century. It was once the residence of the Dey of Algiers and features a mix of Ottoman and Moorish architectural styles.",No image available,Historic Palace,4.2
نادي الفروسية,36.7808037,3.2579873,"Nadi el Frosia is a historic equestrian club in Algiers, Algeria, known for its beautiful gardens and historic buildings. It was founded in 1837 and is one of the oldest equestrian clubs in the world.",No image available,Historic Landmark,4.2
Église Anglicane de la Sainte Trinité,36.7565981,3.0463851,"The Église Anglicane de la Sainte Trinité is a historic Anglican church located in the heart of Algiers, Algeria. It was built in the 19th century and is a notable example of Victorian architecture in the city.",No image available,Historic Church,4.2
Cyber Café Baraki,36.6642614,3.1447975,"Cyber Café Baraki is a popular internet café and social hub in Algiers, offering a space for locals and visitors to connect and relax. It's a great place to experience the city's vibrant atmosphere and culture.",No image available,Local Attraction,4.2
Lac USTHB,36.7140842,3.1792588,"Lac USTHB is a man-made lake located in the University of Sciences and Technology Houari Boumediene (USTHB) campus in Algiers, Algeria. It is a popular spot for recreation and relaxation.",No image available,Park,4.2
Stade de la cité SNTV Alger plage.,36.78072,3.234727,"Stade de la cité SNTV Alger plage is a stadium located in Algiers, Algeria, and it is primarily used for football matches. The stadium is situated near the beach, offering scenic views of the Mediterranean Sea.",No image available,Stadium,4.2
Stade Mohamed Iguer,36.734842,3.0489204,"Stade Mohamed Iguer is a multi-purpose stadium located in Algiers, Algeria. It is primarily used for football matches and has a seating capacity of approximately 60,000 spectators.",No image available,Stadium,4.2
